strategy,fraction_mal,magnitude,frac_fit,frac_eval,min_fit_clients,min_eval_clients,min_available_clients,num_clients,num_malicious,attack,iid,dataset_name,confusion_matrix,warmup_rounds,round,accuracy,loss
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,2,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,3,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,4,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,5,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,6,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,7,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,8,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,9,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,10,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,11,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,12,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,13,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,14,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,15,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,16,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,17,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,18,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,19,0.7202868852459017,0.604511782804272
avg,0,0,1,0,10,0,10,1,0,no attack,True,income,"[[0, 0], [0, 0]]",1,0,0.7202868852459017,0.6931471805599453
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,1,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,2,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,3,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,4,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,5,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,6,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,7,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,8,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,9,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,10,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,11,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,12,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,13,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,14,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,15,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,16,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,17,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,18,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,19,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,20,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,21,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,22,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,23,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,24,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,25,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,26,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,27,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,28,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,29,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,30,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,31,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,32,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,33,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,34,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,35,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,36,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,37,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,38,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,39,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,40,0.7971311475409836,0.472450694716221
avg,0,0,1,0,10,0,10,1,0,no attack,True,income,"[[0, 0], [0, 0]]",1,0,0.7202868852459017,0.6931471805599453
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,1,0.7961065573770492,0.42747957071064513
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,2,0.7961065573770492,0.42747957071064513
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,3,0.7961065573770492,0.42747957071064513
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,4,0.7961065573770492,0.42747957071064513
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,5,0.7961065573770492,0.42747957071064513
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,6,0.7961065573770492,0.42747957071064513
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,7,0.7961065573770492,0.42747957071064513
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,8,0.7961065573770492,0.42747957071064513
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,9,0.7961065573770492,0.42747957071064513
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,10,0.7961065573770492,0.42747957071064513
avg,0,0,1,0,10,0,10,1,0,no attack,True,income,"[[0, 0], [0, 0]]",1,0,0.7202868852459017,0.6931471805599453
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,1,0.798155737704918,0.42732453716848506
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,2,0.798155737704918,0.42732453716848506
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,3,0.798155737704918,0.42732453716848506
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,4,0.798155737704918,0.42732453716848506
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,5,0.798155737704918,0.42732453716848506
avg,0,0,1,0,10,0,10,10,0,no attack,True,income,"[[0, 0], [0, 0]]",1,6,0.798155737704918,0.42732453716848506
